Time,Value,trend,seasonal,residual,anomaly_score,anomaly_level
2025-07-14 00:00:00+08:00,2392.4649649735443,2262.368522760809,-435.86964873819244,565.966090950928,0.30989871493960036,normal
2025-07-14 00:10:00+08:00,1499.0522545027752,2259.9572942855593,-928.4723997260509,167.56735994326664,0.03003302354684861,normal
2025-07-14 00:20:00+08:00,1916.094303250783,2257.552765623712,-469.2043670147958,127.74590464186713,0.00205939247627821,normal
2025-07-14 00:30:00+08:00,1208.302658310115,2255.154728735571,-539.5183662021954,-507.3337042232606,0.4440690210729592,normal
2025-07-14 00:40:00+08:00,2536.5687803548194,2252.762939819943,401.96232261486585,-118.15648207998947,0.17068122168425434,normal
2025-07-14 00:50:00+08:00,2301.501287436792,2250.3772935139127,103.50405475537137,-52.380060832491836,0.12447484054641429,normal
2025-07-14 01:00:00+08:00,13366.959897823192,2247.997771335932,11120.58137403511,-1.6192475478501365,0.08881656907141945,normal
2025-07-14 01:10:00+08:00,1504.2321128272538,2245.624387573216,2903.0106534162483,-3644.4029281622106,2.6477859984940393,moderate
2025-07-14 01:20:00+08:00,1754.4535089750373,2243.2571625693076,-539.576961053687,50.77330745941663,0.05201203760653505,normal
2025-07-14 01:30:00+08:00,2282.4834594271874,2240.8961121347584,-111.48815719445248,153.07550448688153,0.019852837639612257,normal
2025-07-14 01:40:00+08:00,1930.3253685487236,2238.541218341388,-742.6514254117302,434.4355756190662,0.21750163696826377,normal
2025-07-14 01:50:00+08:00,2461.466695219779,2236.192369715154,-1835.7309093794117,2061.0052348840363,1.360128374601897,normal
2025-07-14 02:00:00+08:00,4451.764052389372,2233.8493135840104,2050.029129027654,167.88560977770794,0.03025658653292105,normal
2025-07-14 02:10:00+08:00,2118.051671571828,2231.511746137258,21.49228063269458,-134.95235519812422,0.18247992553770945,normal
2025-07-14 02:20:00+08:00,955.1111006706734,2229.179309621575,-1089.055932528774,-185.0122764221278,0.2176458369074247,normal
2025-07-14 02:30:00+08:00,3319.5683798946648,2226.8516885760837,907.232680882711,185.48401043587,0.0426190470135205,normal
2025-07-14 02:40:00+08:00,2621.0818653677143,2224.5286220367525,440.56615600924704,-44.012912678285375,0.11859711674634138,normal
2025-07-14 02:50:00+08:00,1331.351343484746,2222.209800377462,-1947.4457906519358,1056.5873337592197,0.654548540964958,normal
2025-07-14 03:00:00+08:00,4170.315135131283,2219.894895046307,-2071.86054023281,4022.280780317786,2.7378780856670093,moderate
2025-07-14 03:10:00+08:00,2924.1173758053724,2217.583524414833,795.5560594280021,-89.0222080374624,0.1502150828300597,normal
2025-07-14 03:20:00+08:00,3987.615255809612,2215.275294231755,-531.5286939419441,2303.8686555198005,1.5307341869204354,normal
2025-07-14 03:30:00+08:00,923.1584437985824,2212.9698331610907,-814.8507698934736,-474.96061946903455,0.42132769425110395,normal
2025-07-14 03:40:00+08:00,2304.9379463524847,2210.6667994799723,116.32957748537304,-22.058430612860775,0.10317461204390631,normal
2025-07-14 03:50:00+08:00,3001.056073599605,2208.3659636397238,984.4749275647049,-191.78481760482373,0.22240338700249423,normal
2025-07-14 04:00:00+08:00,3271.412855004965,2206.067145748666,1298.6859037161635,-233.3401944598645,0.2515950569789699,normal
2025-07-14 04:10:00+08:00,4810.061139118233,2203.770246514541,2625.6341138434354,-19.343221239743798,0.10126724163998589,normal
